text,frequency
good,3363
service,1681
order,1593
better,1528
chicken,1468
menu,1258
pretty,1119
nice,1099
still,1075
make,1064
ordered,1060
minutes,1056
think,1035
great,1032
another,1027
vegas,993
come,988
want,986
made,983
going,982
small,974
cheese,973
room,951
went,944
something,933
night,920
table,912
said,897
sauce,896
location,872
never,872
thing,854
take,842
nothing,835
line,828
right,823
experience,811
long,808
staff,789
maybe,785
store,783
taste,755
find,749
price,748
took,748
best,743
side,729
salad,703
probably,699
least,691
wait,689
items,685
quite,678
flavor,671
enough,666
lunch,660
inside,656
meat,655
tasted,653
wanted,653
hotel,652
give,651
actually,647
meal,645
drink,636
ever,629
need,626
pizza,625
quality,620
things,616
anything,608
check,603
fresh,599
rice,598
looking,598
last,597
left,596
half,592
everything,581
free,574
sandwich,571
told,568
coffee,567
soup,560
decent,555
drinks,553
strip,551
kind,547
dinner,547
burger,545
cream,544
looked,543
bread,535
water,534
large,531
prices,529
thought,525
hour,525
found,521
beef,520
fried,519
front,513
decided,506
seemed,503
fries,500
high,498
always,497
else,497
server,494
times,492
look,491
dish,488
parking,488
star,488
sweet,483
instead,483
getting,481
definitely,477
almost,474
less,473
different,473
friendly,473
hard,472
either,468
three,468
however,465
business,464
feel,463
away,461
friend,458
breakfast,458
places,455
tried,455
open,455
visit,453
every,450
served,448
special,446
worth,444
someone,443
without,440
tables,434
show,434
used,432
casino,430
years,430
part,428
full,425
eating,425
buffet,422
might,420
home,417
money,414
work,414
review,413
trying,409
airport,409
seems,408
yelp,406
rather,404
whole,403
huge,397
waiting,397
bland,395
finally,395
cheap,392
later,388
fine,386
stay,384
several,384
stars,383
hours,378
ended,377
outside,376
love,375
restaurants,375
point,373
cold,373
walked,372
spicy,371
couple,368
worst,367
super,367
person,366
chocolate,366
selection,365
reason,362
guess,362
sushi,361
walk,360
dining,359
fish,356
empty,353
slow,353
counter,351
white,351
customers,351
options,351
seem,347
floor,347
house,345
dishes,342
beer,340
friends,337
waited,334
busy,332
done,330
fact,329
customer,329
already,328
wrong,327
pork,327
needed,327
call,327
steak,326
burrito,325
size,325
okay,324
coming,323
shop,323
tell,322
door,317
extra,316
felt,315
especially,314
close,314
kitchen,313
bacon,313
arrived,313
waitress,312
making,312
expensive,311
happy,309
name,307
looks,307
fast,304
reviews,301
plus,300
real,300
gave,298
sitting,298
overpriced,298
unfortunately,297
card,296
chinese,296
plate,295
offer,294
club,292
terrible,288
comes,286
expect,286
roll,285
cooked,283
called,282
quick,282
cool,281
late,280
cake,280
deal,280
located,279
drive,279
stuff,278
choice,278
disappointed,274
dessert,273
help,273
style,272
able,270
average,270
everyone,269
street,269
shrimp,269
clean,269
space,268
town,268
employees,267
stop,266
days,266
although,265
mall,263
spot,262
short,262
working,262
perhaps,260
course,260
usually,259
completely,259
given,257
brought,257
noodle,256
near,256
second,256
portion,255
amount,255
bite,255
group,253
pick,252
seated,251
bowl,251
poor,251
