name,address,city,state,latitude,longitude,stars,review_count,categories
Hot Yoga Wellness,1455 16th Avenue,Richmond Hill,ON,43.86150257600001,-79.3884991854,4.0,4,"Fitness & Instruction, Active Life, Yoga"
Carluccio's Tivoli Gardens,"1775 E Tropicana Ave, Ste 29",Las Vegas,NV,36.10001629999999,-115.12852849999999,4.0,40,"Restaurants, Italian"
Fremont Arcade,"450 Fremont St, Ste 179",Las Vegas,NV,36.169993,-115.140685,4.5,38,"Arcades, Arts & Entertainment"
Marathon Diner,"Center Core - Food Court, Fl 3, Pittsburgh International Airport",Pittsburgh,PA,40.4961769456,-80.24601123640001,4.0,35,"Sandwiches, Salad, Restaurants, Burgers, Comfort Food"
Maria's Mexican Restaurant & Bakery,6055 E Lake Mead Blvd,Las Vegas,NV,36.1956146,-115.04052890000001,4.5,184,"Mexican, Restaurants, Patisserie/Cake Shop, Food, Bars, Nightlife"
Ross Dress for Less,8800 W Charleston Blvd,Las Vegas,NV,36.161805,-115.28727749999999,3.5,38,"Shopping, Home & Garden, Department Stores, Men's Clothing, Fashion, Women's Clothing, Discount Store, Home Decor"
Three Square,4190 N Pecos Rd,Las Vegas,NV,36.2360535,-115.09645420000001,5.0,44,"Local Services, Food Banks, Community Service/Non-Profit"
Louis Stokes Cleveland VA Medical Center,10701 E Blvd,Cleveland,OH,41.5135543914,-81.6137516499,3.5,11,"Health & Medical, Medical Centers"
Tomkins Park,880 17 Avenue SW,Calgary,AB,51.037994384799994,-114.08136749270001,3.5,3,"Parks, Active Life"
Kabob House,6432 E Independence Blvd,Charlotte,NC,35.172028000000005,-80.746801,3.0,15,"Coffee & Tea, Hookah Bars, Nightlife, Persian/Iranian, Country Dance Halls, Middle Eastern, Beer, Wine & Spirits, Bars, Restaurants, Food, Lounges, Delis"
Apteka,4606 Penn Ave,Pittsburgh,PA,40.4656937,-79.9493238,4.5,242,"Nightlife, Bars, Polish, Modern European, Restaurants, Vegan"
Dairy Queen,6125 Spring Mountain Rd,Las Vegas,NV,36.1250311,-115.22562020000001,2.0,33,"Fast Food, Food, Restaurants, Ice Cream & Frozen Yogurt"
Nee House Chinese Restaurant,"13843 N Tatum Blvd, Ste 15",Phoenix,AZ,33.6130201898,-111.9770356779,3.5,269,"Chinese, Restaurants"
Winners,3105 Highway 7,Markham,ON,43.847996581000004,-79.3537330357,2.5,8,"Shopping, Discount Store"
Burrito Bandidos,1614 Queen Street E,Toronto,ON,43.666181200000004,-79.3164682,3.5,43,"Tex-Mex, Mexican, Restaurants"
Imperial Asian Buffet,4343 N Rancho Dr,Las Vegas,NV,36.238596,-115.2333307,2.0,4,"Restaurants, Chinese"
Carl's Jr,309 50 Avenue SW,Calgary,AB,51.008460175299994,-114.0687542984,3.5,6,"American (Traditional), Breakfast & Brunch, Restaurants, Burgers, Fast Food"
Cruisers Bar and Grill,6625 Dean Memorial Pkwy,Hudson,OH,41.261133,-81.503467,3.5,12,"Pubs, Restaurants, Bars, Event Planning & Services, American (Traditional), Nightlife, Lounges, Venues & Event Spaces, Sports Bars"
Venetian Nail Spa,19312 Detroit Rd,Rocky River,OH,41.4817445,-81.8361651,2.5,52,"Beauty & Spas, Nail Salons"
Southdown Chiropractic & Wellness,1494 Southdown Road,Mississauga,ON,43.5204101,-79.6433145,4.0,5,"Chiropractors, Health & Medical"
Starbucks,"1990 Village Center Circle, Suite 1",Las Vegas,NV,36.191852000000004,-115.30498300000001,4.0,76,"Food, Coffee & Tea"
Protection 1 Security Solutions,5030 S Decatur Blvd,Las Vegas,NV,36.0985674,-115.20684009999998,2.0,18,"Security Systems, Home Services"
Vintage 95,95 W Boston,Chandler,AZ,33.30209310000001,-111.8426128,4.0,320,"American (New), Bars, Wine Bars, Nightlife, Restaurants"
Hotel Indigo Toronto Airport,135 Carlingview Drive,Toronto,ON,43.6789005,-79.5914878,3.0,15,"Airports, Hotels, Event Planning & Services, Hotels & Travel, Venues & Event Spaces"
Slate Interiors,"1401 Central Ave, Ste 200",Charlotte,NC,35.220895,-80.814996,3.0,8,"Art Galleries, Used, Vintage & Consignment, Shopping, Furniture Stores, Home & Garden, Home Decor, Arts & Entertainment, Fashion"
Served,"1770 W Horizon Ridge, Ste 100",Henderson,NV,36.0107451,-115.0648029,4.5,664,"Ethnic Food, American (New), Burgers, Food, Restaurants, Asian Fusion, Specialty Food, Mexican, Sandwiches, Breakfast & Brunch, Korean"
JJ's Red Hots - Dilworth,1514 East Blvd,Charlotte,NC,35.199797967399995,-80.842294693,4.0,380,"Caterers, Hot Dogs, Restaurants, Vegetarian, American (Traditional), Event Planning & Services"
Ravi Soups,322 Adelaide Street W,Toronto,ON,43.647585299999996,-79.3920316,4.5,332,"Soup, Restaurants, Sandwiches"
Salt Cellar,550 N Hayden Rd,Scottsdale,AZ,33.454285999999996,-111.909405,3.5,526,"Seafood, Restaurants"
Caffeine,1448 Lawrence Avenue E,Toronto,ON,43.742554999999996,-79.314252,4.5,30,"Restaurants, Breakfast & Brunch, Sandwiches, Food, Coffee & Tea"
La Creperie,3655 Las Vegas Blvd S,Las Vegas,NV,36.1125266402,-115.17135143280001,3.5,535,"French, Restaurants, Creperies"
Park Road Books,4139 Park Rd,Charlotte,NC,35.17526779999999,-80.8492694,4.0,33,"Bookstores, Books, Mags, Music & Video, Shopping, Newspapers & Magazines"
Feast Buffet,2411 W Sahara Ave,Las Vegas,NV,36.1421161808,-115.17425156290001,3.0,287,"Buffets, Restaurants"
Restaurant Nhu Y,134 Rue Jean-Talon O,Montréal,QC,45.533110799999996,-73.6195176,4.0,11,"Vietnamese, Restaurants, Soup"
Yummy Yummy Chinese Restaurant,"2765 N Scottsdale Rd, Ste 105",Scottsdale,AZ,33.478753999999995,-111.92548400000001,3.0,188,"Chinese, Restaurants"
Hilton Toronto,145 Richmond Street W,Toronto,ON,43.6496117,-79.3854472,3.5,131,"Hotels, Event Planning & Services, Hotels & Travel"
Marlene's Baker Supply,29225 Euclid Ave,Wickliffe,OH,41.60578710000001,-81.47539909999999,4.5,5,"Education, Specialty Schools, Cooking Schools"
Heart Attack Grill,6185 W Chandler Blvd,Chandler,AZ,33.3047634,-111.948079,3.0,104,"Burgers, Restaurants"
Stage Deli Of Las Vegas,"3500 Las Vegas Blvd S, Ste E11",Las Vegas,NV,36.11732670000001,-115.1765011,3.5,28,"Sandwiches, Restaurants, Delis, Desserts, Food"
Hoover Dam Discovery Tour,US-93 At The Az Border,Boulder City,NV,35.967597,-114.86745800000001,4.0,52,"Hotels & Travel, Tours"
Pita Pit,1263 Silverado Ranch Blvd,Las Vegas,NV,36.012764000000004,-115.13605600000001,4.0,77,"Middle Eastern, Restaurants, Vegetarian, Juice Bars & Smoothies, Ethnic Food, Salad, Food, Sandwiches, Specialty Food"
Vistal Golf Club,701 E Thunderbird Trl,Phoenix,AZ,33.358207199999995,-112.06419469999999,3.0,22,"Golf, Active Life"
Mr G's Pub & Grub,"3342 E Sandhill Rd, Ste 11",Las Vegas,NV,36.1290404,-115.0912939,4.0,27,"Dive Bars, Food, Bars, Pubs, Restaurants, Nightlife, American (Traditional), Beer, Wine & Spirits"
Manolo Blahnik,3131 Las Vegas Blvd,Las Vegas,NV,36.1257322229,-115.1676084101,4.5,32,"Shoe Stores, Fashion, Shopping"
Eons Fashion Antique,5850 Ellsworth Ave,Pittsburgh,PA,40.456871500000005,-79.9294162,4.5,26,"Arts & Crafts, Costumes, Fashion, Formal Wear, Used, Vintage & Consignment, Antiques, Shopping"
Big Boy's Burgers,705 Kingston Road,Pickering,ON,43.8195876,-79.11387109999998,4.0,14,"Restaurants, Burgers"
Bonjour Bakery & Deli,"4012 S Rainbow Blvd, Ste J",Las Vegas,NV,36.116169299999996,-115.24185159999999,4.5,39,"Restaurants, Food, Delis, Desserts, Bakeries, Coffee & Tea"
Teatro Verde,136 Yorkville Avenue,Toronto,ON,43.670662,-79.3940743,3.5,12,"Florists, Flowers & Gifts, Baby Gear & Furniture, Home & Garden, Shopping"
Toad N Turtle Pubhouse & Grill,"5155 130th Avenue SE, Suite 100",Calgary,AB,50.9319378,-113.9616098,2.5,24,"Bars, Pubs, Gastropubs, Nightlife, Restaurants, Canadian (New)"
Howlers,4509 Liberty Ave,Pittsburgh,PA,40.4631316,-79.95130329999999,3.5,26,"Arts & Entertainment, Music Venues, Nightlife, Bars"
Moksha Yoga Markham,"5051 Highway 7, Suiite 2",Markham,ON,43.865261600000004,-79.28942070000001,4.0,23,"Fitness & Instruction, Yoga, Education, Active Life, Specialty Schools"
Carnegie Museum of Art,4400 Forbes Ave,Pittsburgh,PA,40.4432834,-79.9502225,4.0,55,"Art Galleries, Shopping, Arts & Entertainment, Museums, Art Museums"
Cibo,1012 17 Avenue SW,Calgary,AB,51.0380869,-114.0849675,3.5,185,"Italian, Canadian (New), Food, American (New), Restaurants"
Oregano's Pizza Bistro,1008 E Camelback Rd,Phoenix,AZ,33.50951,-112.06023799999998,3.5,563,"Restaurants, Pizza, Sandwiches, Italian"
Encore Beach Club at Night,3131 Las Vegas Blvd S,Las Vegas,NV,36.1292433677,-115.1656436718,3.5,865,"Music Venues, Dance Clubs, Arts & Entertainment, Nightlife"
Pearl King,291 King Street W,Toronto,ON,43.6464782,-79.3900189,2.5,72,"Dim Sum, Chinese, Tapas/Small Plates, Restaurants"
Trader Joe's,2716 N Green Valley Pkwy,Henderson,NV,36.06966,-115.08108500000002,4.5,196,"Food, Specialty Food, Beer, Wine & Spirits, Shopping, Flowers & Gifts, Florists, Grocery"
Champions Cuisine,"8321 Kennedy Road, unit 1071",Markham,ON,43.856381,-79.30440959999999,3.5,7,"Chinese, Restaurants"
Arc Bar,3655 S Las Vegas Blvd,Las Vegas,NV,36.1121506,-115.17155,3.5,6,"Hotels & Travel, Nightlife, Food, Beer, Wine & Spirits"
The Home Depot,400 N Highland Ave,Pittsburgh,PA,40.4646775,-79.9221005,2.5,41,"Home Services, Department Stores, Fashion, Nurseries & Gardening, Hardware Stores, Home & Garden, Shopping, Building Supplies, Appliances"
Cobblestone Auto Spa,616 W Baseline Rd,Tempe,AZ,33.3785398438,-111.94642908649999,2.5,147,"Food, Gas Stations, Car Wash, Convenience Stores, Automotive, Auto Detailing, Oil Change Stations"
Savers,1100 E Charleston Blvd,Las Vegas,NV,36.158873,-115.1381442,3.0,33,"Local Services, Shopping, Donation Center, Thrift Stores"
China AAA,10624 S Eastern Ave,Henderson,NV,35.99822,-115.102246,4.5,149,"Restaurants, Hawaiian, Chinese, Japanese, Poke, Asian Fusion, Mexican, Food"
Nishikawa Ramen,1909 E Ray Rd,Chandler,AZ,33.320005699999996,-111.8096749,4.0,427,"Asian Fusion, Japanese, Restaurants, Ramen, Tapas Bars"
"Coffee, Tea, or Me","2600 W Sahara Ave, Ste 121",Las Vegas,NV,36.1452198,-115.17665120000001,4.0,19,"Sandwiches, Juice Bars & Smoothies, Coffee & Tea, Food, Donuts, Ice Cream & Frozen Yogurt, Restaurants"
ADEQ,8448 E Evans Rd,Scottsdale,AZ,33.6168825,-111.8994858,3.5,34,"Automotive, Smog Check Stations"
Golden Flower Cafe,"1 Spadina Road, Suite 11",Richmond Hill,ON,43.8611126,-79.394803,3.5,31,"Chinese, Restaurants, Fast Food"
Hello Bistro,701 Providence Blvd,Pittsburgh,PA,40.5701342672,-80.0214552865,3.5,75,"Burgers, Restaurants, Cafes, Salad, Sandwiches"
Chez ma Grosse Truie Chérie,1801 Rue Ontario E,Montréal,QC,45.5260887,-73.5595135,3.5,30,"Restaurants, Canadian (New), French, Brasseries"
Landmark Aviation,14600 N Airport Dr,Scottsdale,AZ,33.6201348128,-111.918426675,4.0,4,"Hotels & Travel, Private Jet Charter, Airports, Transportation, Travel Services"
Brookstone,3200 Las Vegas Blvd S,Las Vegas,NV,36.127328799999994,-115.1737164,3.5,13,"Flowers & Gifts, Shopping, Gift Shops, Electronics"
Healthy Home Market,5410 E Independence Blvd,Charlotte,NC,35.1848025,-80.75882829999999,4.0,20,"Grocery, Health Markets, Specialty Food, Health & Medical, Herbs & Spices, Organic Stores, Food"
The Red Door Salon & Spa,"2502 E Camelback Rd, Ste 215",Phoenix,AZ,33.510296548,-112.02714264389999,4.0,96,"Day Spas, Beauty & Spas, Hair Salons, Massage, Skin Care"
Autozone,3185 E Desert Inn Rd,Las Vegas,NV,36.1292638,-115.1058591,3.5,12,"Automotive, Auto Parts & Supplies"
Insurgo Theater Movement,1 Main St,Las Vegas,NV,36.1721756,-115.1468294,5.0,4,"Performing Arts, Arts & Entertainment"
Bread & Roses Bakery Cafe,2901 Bayview Avenue,Toronto,ON,43.7690784933,-79.3854800239,3.0,23,"Food, Coffee & Tea, Bakeries, Restaurants, Cafes"
Plato's Closet,554 Howe Ave,Cuyahoga Falls,OH,41.1174958,-81.4751207,2.0,5,"Shopping, Used, Vintage & Consignment, Fashion"
Gelato 64,2095 N Dobson Rd,Chandler,AZ,33.3372236,-111.8753378,4.0,140,"Coffee & Tea, Wedding Planning, Food, Event Planning & Services, Ice Cream & Frozen Yogurt, Party & Event Planning, Gelato"
Empress Court,3570 Las Vegas Blvd,Las Vegas,NV,36.1161559,-115.17505759999999,3.5,21,"Seafood, Chinese, Steakhouses, Restaurants, Italian"
Cha Me Cha,"8333 Kennedy Road, Suite 1078",Markham,ON,43.8563274289,-79.3038838729,3.0,293,"Bubble Tea, Food, Restaurants, Taiwanese, Coffee & Tea"
Megas Restaurant,402 Danforth Avenue,Toronto,ON,43.6777565,-79.3515772,2.5,47,"Restaurants, Greek, Mediterranean, Caterers, Event Planning & Services"
Jardin Botanique de Montréal,4101 Rue Sherbrooke E,Montréal,QC,45.5603345562,-73.5612237261,4.5,207,"Arts & Entertainment, Botanical Gardens, Parks, Active Life"
Albinas Italian American Bakery,3035 E Tropicana Ave,Las Vegas,NV,36.0992176,-115.10965990000001,4.5,11,"Food, Bakeries, Restaurants"
Naya Mediterranean Cuisine,"8877 N Scottsdale Rd, Ste 402",Scottsdale,AZ,33.5659638976,-111.9250339642,4.0,97,"Specialty Food, Food, Bars, Italian, Nightlife, Ethnic Food, Restaurants, Cocktail Bars, Mediterranean"
Toronto Police Museum,40 College St,Toronto,ON,43.661198,-79.3852652,3.0,4,"Arts & Entertainment, Museums"
Taxco Mexican Grill,7106 Brighton Park Dr,Mint Hill,NC,35.172354,-80.66149899999999,3.0,52,"Restaurants, Mexican"
La Flor De Calabaza,"705 N 1st St, Ste 110",Phoenix,AZ,33.455949100000005,-112.07208899999999,3.0,90,"Breakfast & Brunch, Lounges, Nightlife, Latin American, Mexican, Bars, Restaurants"
Metro Pizza,6720 Sky Pointe Dr,Las Vegas,NV,36.2836689,-115.2702841,3.5,303,"Restaurants, Pizza"
Red Lotus,10909 Yonge Street,Richmond Hill,ON,43.8914289676,-79.4404220581,2.0,4,"Chinese, Restaurants"
Anise Vietnamese Restaurant,2090 N Dobson Rd,Chandler,AZ,33.3373254,-111.87710829999999,4.0,29,"Vietnamese, Restaurants"
Sakana Sushi & Grill,"6989 N Hayden Rd, Ste A12",Scottsdale,AZ,33.5380294431,-111.90567579020001,4.0,347,"Asian Fusion, Restaurants, Seafood, Sushi Bars, Japanese"
The Golden Pheasant,733 Lakeshore Road E,Mississauga,ON,43.5707634,-79.56556529999999,4.5,40,"Modern European, Restaurants"
Hickory Tavern,9010 Harris Corners Pkwy,Charlotte,NC,35.344936,-80.84222700000001,3.0,100,"Bars, Restaurants, Sports Bars, Chicken Wings, American (Traditional), Nightlife"
Noodles Ranch,"2765 N Scottsdale Rd, Ste 107",Scottsdale,AZ,33.479367100000005,-111.9247231,4.0,457,"Vietnamese, Restaurants"
Old Navy,21001 N Tatum Blvd,Phoenix,AZ,33.6783134204,-111.97335730479999,3.5,13,"Women's Clothing, Fashion, Men's Clothing, Shopping, Department Stores, Plus Size Fashion"
Paradise Boba Tea and Smoothie,1910 Village Center Cir,Las Vegas,NV,36.1931903,-115.3037626,3.5,21,"Restaurants, Food, Coffee & Tea, Juice Bars & Smoothies"
Highway Robbery Vintage,2012 E Carson St,Pittsburgh,PA,40.428457,-79.97698100000001,4.5,19,"Shopping, Used, Vintage & Consignment, Fashion, Men's Clothing, Women's Clothing"
Carolina Beer Company,Charlotte-Douglas Intl Airport,Charlotte,NC,35.2205899237,-80.940057576,2.0,77,"Local Flavor, Beer, Wine & Spirits, Food"
JCPenney,1312 W Sunset Rd,Henderson,NV,36.0678874821,-115.04193064969999,3.0,57,"Department Stores, Baby Gear & Furniture, Health & Medical, Optometrists, Fashion, Shopping, Appliances, Women's Clothing, Men's Clothing, Children's Clothing, Home & Garden"
Chandler Cinemas,2140 N Arizona Ave,Chandler,AZ,33.338475,-111.8441442,4.0,10,"Arts & Entertainment, Cinema"
Visulite Theatre,1615 Elizabeth Ave,Charlotte,NC,35.2135934,-80.8259927,4.0,57,"Music Venues, Nightlife, Arts & Entertainment, Cinema"
Eggstasy,6990 E Shea Blvd,Scottsdale,AZ,33.5825076235,-111.9312195007,3.5,646,"Diners, Breakfast & Brunch, Restaurants"
Yao Fine Chinese Cuisine,"2487 S Gilbert Rd, Ste 102",Gilbert,AZ,33.304829999999995,-111.78886599999998,4.0,200,"Chinese, Restaurants"
Ben & Jerry's,202 S Main St,Davidson,NC,35.4981372,-80.84930390000001,4.5,10,"Restaurants, Desserts, Food, Caterers, Ice Cream & Frozen Yogurt, Bakeries, Event Planning & Services"
Eggspectation,190 Rue Sainte-Catherine O,Montréal,QC,45.507290999999995,-73.56567199999999,4.0,342,"Burgers, American (Traditional), Cafes, Breakfast & Brunch, Restaurants, Sandwiches, Comfort Food"
P Town,4740 Baum Blvd,Pittsburgh,PA,40.4539049,-79.94884859999999,4.0,13,"Nightlife, Adult Entertainment, Gay Bars, Dance Clubs, Bars"
Panera Bread,9350 Yonge Street,Richmond Hill,ON,43.856857849499995,-79.4344568253,3.0,53,"Salad, Bagels, Breakfast & Brunch, Sandwiches, Food, Bakeries, Soup, Restaurants"
Chick Rotisserie & Wine Bar,3943 E Camelback Rd,Phoenix,AZ,33.50978610000001,-111.9965163,3.0,42,"Restaurants, American (Traditional), Nightlife, Bars"
Healthy Tails,8457 W Lake Mead Blvd,Las Vegas,NV,36.1978646,-115.28059840000002,5.0,91,"Pets, Pet Stores"
Bath and Body Works,"2819 W Agua Fria Fwy, Ste G2",Phoenix,AZ,33.6702146,-112.12187709999999,3.5,15,"Beauty & Spas, Shopping, Cosmetics & Beauty Supply"
Bomberos Cafe & Wine Bar,"8801 N Central Ave, Ste 104",Phoenix,AZ,33.5650982,-112.0737503,4.0,135,"Nightlife, Latin American, Wine Bars, Restaurants, Bars, Lounges"
Gap,3200 Las Vegas Blvd S,Las Vegas,NV,36.12722410000001,-115.17165779999999,4.0,8,"Shopping, Children's Clothing, Men's Clothing, Fashion, Women's Clothing"
Tacos Chiwas,1923 E Mcdowell Rd,Phoenix,AZ,33.465551,-112.04011509999998,4.5,453,"Restaurants, Latin American, Mexican, Tacos"
The Combine Eatery,162 Danforth Avenue,Toronto,ON,43.676642,-79.357421,3.5,82,"Canadian (New), Bakeries, Restaurants, Food, Bars, Burgers, Nightlife, Mexican, American (New)"
S & V Urban Italian,"9343 E Shea Blvd, Ste 100",Scottsdale,AZ,33.581362799999994,-111.8796351,4.0,105,"Nightlife, Bars, Restaurants, Wine Bars, Pizza, Italian"
Kelly's Bar & Lounge,6012 Penn Cir S,Pittsburgh,PA,40.459992086599996,-79.92448650829999,3.5,166,"Lounges, Nightlife, American (Traditional), Bars, Restaurants"
Pavilion Shell,9030 E Indian Bend Rd,Scottsdale,AZ,33.538577000000004,-111.88600149999999,3.0,3,"Gas Stations, Auto Repair, Automotive"
800 Degrees,2535 Las Vegas Blvd S,Las Vegas,NV,36.14236939999999,-115.156034,3.5,296,"Pizza, Salad, Restaurants, Italian"
Ferrucci's Old Tyme Italian Market,20910 Torrence Chapel Rd,Cornelius,NC,35.487588959600004,-80.875062168,4.5,59,"Event Planning & Services, Meat Shops, Italian, Caterers, Restaurants, Grocery, Specialty Food, Delis, Food"
Camille By Manon,2170 S  Rainbow Blvd,Las Vegas,NV,36.1481125,-115.24255359999998,3.5,45,"Food, Bakeries"
Shabu Shabu Paradise,"1716 W Horizon Ridge Pkwy, Ste 110",Henderson,NV,36.011899,-115.0628631,4.5,248,"Fondue, Japanese, Restaurants"
Tarbell's The Tavern,3209 E Camelback Rd,Phoenix,AZ,33.5091229429,-112.01262878290001,4.0,107,"American (Traditional), Lounges, American (New), Mexican, Wine Bars, Restaurants, Nightlife, Bars, Cocktail Bars"
Bánh Cuon Thanh Trúc,2422 St Clair Ave W,Toronto,ON,43.6695111,-79.4824124,3.5,26,"Restaurants, Vietnamese"
The Shameful Tiki Room,1378 Queen W,Toronto,ON,43.641439299999995,-79.43330259999999,4.0,148,"Cocktail Bars, Bars, Tiki Bars, Nightlife"
Ryan's Pub,607 S Braddock Ave,Pittsburgh,PA,40.4393965,-79.8971839,3.0,18,"Restaurants, Barbeque, Bars, Pubs, Burgers, Nightlife"
Tim Hortons,10233 Elbow Drive SW,Calgary,AB,50.9615997,-114.08562549999999,3.0,4,Food
Bar Charlie,"The Palazzo Hotel, 3325 Las Vegas Blvd S",Las Vegas,NV,36.124423,-115.146372,5.0,14,"Japanese, Restaurants"
Roots Cafe,"2135 Southend Dr, Ste 109",Charlotte,NC,35.2065071258,-80.8602583075,4.0,104,"Breakfast & Brunch, Restaurants, Coffee & Tea, Cafes, Food"
Brass Taps Pizza Pub,934 College St,Toronto,ON,43.6537865,-79.4261354,3.5,34,"Pizza, Nightlife, Restaurants, Pubs, Bars"
Farmer Boy Restaurant,46323 Telegraph Rd,Amherst,OH,41.3622256,-82.22085990000001,4.5,3,"Salad, Restaurants, Burgers, Breakfast & Brunch"
