text,frequency,freq
good,24457,245
great,15668,157
nice,10192,102
service,8408,84
menu,7490,75
pretty,7457,75
vegas,7395,74
chicken,7157,72
best,6882,69
made,6845,68
friendly,6571,66
cheese,6488,65
order,5975,60
sauce,5923,59
love,5838,58
fresh,5599,56
come,5593,56
night,5539,55
still,5526,55
right,5510,55
make,5485,55
small,5352,54
room,5345,53
always,5263,53
better,5062,51
delicious,4931,49
location,4914,49
definitely,4913,49
lunch,4841,48
side,4828,48
sweet,4803,48
went,4799,48
find,4659,47
staff,4534,45
coffee,4507,45
want,4445,44
think,4432,44
store,4429,44
quite,4413,44
cream,4411,44
everything,4410,44
meal,4360,44
salad,4326,43
take,4317,43
large,4284,43
dinner,4250,43
ordered,4241,42
chocolate,4229,42
free,4225,42
something,4080,41
items,4060,41
table,4015,40
going,3910,39
every,3899,39
experience,3884,39
inside,3875,39
pizza,3852,39
visit,3823,38
different,3819,38
long,3804,38
flavor,3787,38
last,3765,38
yelp,3756,38
bread,3750,38
strip,3732,37
tasty,3719,37
never,3698,37
hotel,3568,36
another,3558,36
enough,3512,35
looking,3496,35
parking,3442,34
favorite,3415,34
perfect,3394,34
huge,3363,34
dish,3361,34
show,3347,33
wait,3345,33
full,3338,33
enjoyed,3331,33
check,3325,33
super,3307,33
need,3301,33
fried,3284,33
served,3283,33
excellent,3221,32
meat,3207,32
times,3163,32
happy,3159,32
thing,3152,32
things,3125,31
breakfast,3124,31
sandwich,3117,31
drink,3101,31
amazing,3074,31
clean,3048,30
fries,3045,30
price,3025,30
beef,3018,30
ever,3016,30
rice,2993,30
took,2959,30
drinks,2951,30
prices,2946,29
selection,2928,29
course,2909,29
found,2903,29
line,2893,29
worth,2877,29
taste,2876,29
burger,2861,29
home,2853,29
outside,2843,28
house,2843,28
actually,2842,28
spot,2816,28
pork,2813,28
three,2799,28
probably,2793,28
spicy,2762,28
open,2751,28
hour,2749,27
look,2733,27
years,2726,27
special,2723,27
cool,2692,27
beer,2691,27
quality,2688,27
high,2671,27
half,2658,27
wanted,2612,26
without,2596,26
dessert,2590,26
feel,2566,26
tried,2565,26
dining,2563,26
minutes,2556,26
stars,2532,25
several,2517,25
plus,2507,25
decided,2503,25
said,2484,25
places,2462,25
light,2458,25
awesome,2456,25
shop,2453,25
enjoy,2450,25
friend,2428,24
options,2426,24
dishes,2406,24
soup,2403,24
town,2399,24
cake,2398,24
give,2396,24
away,2386,24
couple,2384,24
work,2370,24
part,2346,23
front,2342,23
located,2333,23
flavors,2327,23
almost,2312,23
especially,2306,23
city,2287,23
thought,2284,23
bacon,2281,23
chef,2278,23
white,2274,23
walk,2271,23
less,2267,23
style,2255,23
stop,2251,23
friends,2248,22
wine,2240,22
butter,2239,22
getting,2239,22
lots,2212,22
plenty,2205,22
kind,2201,22
tables,2183,22
easy,2164,22
steak,2160,22
review,2156,22
green,2155,22
used,2151,22
water,2145,21
space,2137,21
cooked,2121,21
restaurants,2104,21
maybe,2085,21
whole,2061,21
local,2060,21
crispy,2034,20
fish,2031,20
shrimp,2015,20
least,2014,20
seating,1992,20
hard,1987,20
hours,1979,20
liked,1974,20
able,1951,20
quick,1949,19
busy,1946,19
loved,1935,19
photos,1925,19
coming,1915,19
size,1913,19
tasted,1910,19
recommend,1909,19
usually,1906,19
might,1902,19
server,1901,19
left,1898,19
street,1895,19
plate,1888,19
everyone,1888,19
done,1884,19
casino,1872,19
stay,1870,19
kitchen,1869,19
anything,1859,19
decent,1835,18
looked,1834,18
fast,1828,18
available,1826,18
choice,1818,18
park,1810,18
beautiful,1808,18
extra,1805,18
french,1803,18
portion,1801,18
perfectly,1798,18
along,1790,18
shopping,1782,18
must,1780,18
close,1780,18
although,1757,18
eating,1752,18
year,1740,17
music,1729,17
four,1720,17
buffet,1715,17
group,1711,17
trip,1707,17
grilled,1700,17
ended,1699,17
center,1698,17
nothing,1687,17
name,1679,17
makes,1678,17
needed,1676,17
amount,1658,17
soft,1651,17
offer,1642,16
stuff,1640,16
http,1639,16
garlic,1635,16
early,1630,16
family,1630,16
including,1624,16
star,1623,16
floor,1622,16
black,1621,16
tender,1620,16
however,1618,16
mall,1599,16
stopped,1595,16
sushi,1594,16
week,1594,16
roll,1589,16
told,1585,16
late,1575,16
warm,1573,16
comes,1572,16
short,1570,16
gave,1561,16
brought,1559,16
past,1550,16
pool,1540,15
arrived,1536,15
near,1530,15
variety,1527,15
later,1512,15
party,1500,15
airport,1496,15
finally,1494,15
bite,1493,15
days,1492,15
quickly,1486,15
real,1485,15
seems,1485,15
seen,1480,15
making,1479,15
deal,1475,15
door,1474,15
else,1472,15
potato,1470,15
list,1468,15
regular,1465,15
keep,1463,15
