name,review_count,useful,cluster
Aurélie,1563,4172,a
Jason,2518,16349,c
Michael,4308,22757,c
Seong,1525,4012,a
Keila,2097,17430,c
Andrew,4652,5947,a
Curt,2375,15074,c
Matt,1947,15046,c
Scott,2291,14086,a
Jack,4534,58513,b
Dave,2363,21056,c
Bill,2396,19570,c
Candace,1590,11387,a
Jana,3044,12666,a
Connie,1540,24513,c
Gerald,2429,28188,c
Bruce,10022,74829,b
Kathleen,1536,5673,a
Amanda,1571,9572,a
Carol,2759,12216,a
Jill,1514,1816,a
Lorrie,3023,13793,a
Jeffrey,1939,10647,a
Mike,1550,10034,a
Tina,4132,15795,c
Maggie,2830,89792,b
Shannon,2700,8744,a
Felicia,1798,3571,a
Abby,2158,24367,c
Dan,2156,8979,a
Tram,2467,19997,c
Heather,1552,9375,a
Anita,4065,23653,c
Canny,1589,1389,a
Peter,2939,41172,b
Cherylynn,2190,78888,b
Nish,1889,12763,a
Rachel,1499,9094,a
Hannah,3956,28051,c
Bobby,1537,3076,a
Emily,1664,10550,a
Madelyn,2358,8339,a
Johnny,2246,25889,c
David,4027,20314,c
Gabi,1932,18380,c
Steve,1509,4359,a
Cindy,2022,12966,a
Tiffany,2080,21165,c
Eugene,1890,16084,c
Nicole,1523,7735,a
Allister,1644,3478,a
Danny,1976,21782,c
Mel,1606,12403,a
Jess,4302,15324,c
Matthew,1692,6002,a
Amy,2443,6607,a
Chris,1805,3261,a
Danielle,2615,3966,a
Ryan,1659,2376,a
Stephy,2606,24988,c
Brett,2192,17037,c
Lisa,1886,6000,a
Ivy,1857,20835,c
Mark,2167,5113,a
Jennifer,6314,20336,c
Katy,1988,28151,c
Pegah,2506,5665,a
David,1717,2745,a
Angela,1800,9257,a
D.,1524,2711,a
Stefanie,1889,4696,a
Nijole,7089,45394,b
Charley,2617,6144,a
Dani,2327,47100,b
Stephen,2419,3944,a
Rachel,1596,3443,a
Rob,2388,6072,a
Shila,12390,9403,a
Darrell,1660,2949,a
Lisa,2074,20526,c
J,1982,14163,a
Yan,1704,4411,a
Joanna,2429,9960,a
Manda Bear,2027,15180,c
Ziyan,1995,3065,a
Steph,1775,11202,a
M,2127,3251,a
Elsie,1689,3849,a
Monica,1925,5095,a
Samantha,1789,5616,a
Danan,1843,3553,a
Christina,1620,8647,a
