name,review_count,useful,cluster
Aurélie,1563,4172,a
Jason,2518,16349,c
Seong,1525,4012,a
Keila,2097,17430,c
Curt,2375,15074,c
Matt,1947,15046,c
Scott,2291,14086,c
Dave,2363,21056,c
Bill,2396,19570,c
Candace,1590,11387,a
Jana,2800,25000,c
Connie,1540,24513,c
Gerald,2429,28188,c
Kathleen,1536,5673,a
Amanda,1571,9572,a
Carol,2759,12216,c
Jill,1514,1816,a
Lorrie,3023,13793,c
Jeffrey,1939,10647,a
Mike,1550,10034,a
Maggie,2830,89792,b
Shannon,2700,38744,b
Felicia,1798,3571,a
Abby,2158,24367,c
Dan,2156,8979,a
Tram,2467,19997,c
Heather,1552,9375,a
Canny,1589,1389,a
Peter,2939,41172,b
Cherylynn,2190,78888,b
Nish,1889,12763,c
Rachel,1499,9094,a
Bobby,1537,3076,a
Emily,2200,10550,a
Madelyn,2358,8339,a
Johnny,2246,25889,c
Gabi,1932,18380,c
Steve,1509,4359,a
Cindy,2022,12966,c
Tiffany,2080,21165,c
Eugene,1890,16084,c
Nicole,1523,7735,a
Allister,1644,3478,a
Danny,1976,21782,c
Mel,1606,12403,c
Matthew,1692,6002,a
Amy,2443,6607,a
Chris,1805,3261,a
Danielle,2615,3966,a
Ryan,1659,2376,a
Stephy,2606,24988,c
Brett,2192,17037,c
Lisa,1886,6000,a
Ivy,1857,20835,c
Mark,2167,5113,a
Katy,1988,28151,c
Pegah,2506,5665,a
David,1717,2745,a
Angela,1800,9257,a
D.,1524,2711,a
Stefanie,1889,4696,a
Charley,2617,6144,a
Dani,2327,47100,b
Stephen,2419,3944,a
Rachel,1596,3443,a
Rob,2388,6072,a
Darrell,1660,2949,a
Lisa,2074,20526,c
J,1982,14163,c
Yan,1704,4411,a
Joanna,2429,9960,a
Manda Bear,2027,15180,c
Ziyan,1995,3065,a
Steph,1775,11202,a
M,2127,3251,a
Elsie,1689,3849,a
Monica,1925,5095,a
Samantha,1789,5616,a
Danan,1843,3553,a
Christina,1620,8647,a
Chad,2410,5240,a
Vicky,1669,6116,a
Kimberly,1770,22054,c
Jenny,2513,15936,c
Kymberli,1485,4982,a
Cat,1626,17434,c
Cynthia,1988,6923,a
Carol,1481,5476,a
Michelangelo,2554,51259,b
Kevin,1595,4024,a
Janet,2088,7846,a
Min,2157,9595,a
