user_id,name,review_count,useful,funny,cool,fans
zzpgpo54-_P-4rzzBtOuLQ,Aurélie,1563,4172,1661,3246,99
eSlOI3GhroEtcbaD_nFXJQ,Jason,2518,16349,8340,13924,251
U4INQZOPSUaj8hMjLlZ3KA,Michael,4308,22757,10209,16249,912
XkLK2iBsgqF6mWwDfRgqqQ,Seong,1525,4012,2862,3573,124
lConjPFTZqz4zWELK_EJtw,Keila,2097,17430,9232,13626,447
Xj0O2l0bp633ebmG468aZw,Andrew,4652,5947,2089,3239,191
WWWujmZ95y0a2RR5_kQ9sw,Curt,2375,15074,8015,11220,181
HYQoxBC1y1DGPq6pGP09Tw,Matt,1947,15046,11745,14031,329
CIZGlEw-Bp0rmkP8M6yQ9Q,Scott,2291,14086,7920,10569,587
WG3w_73scm_JUWJ_3Lgn0Q,Jack,4534,58513,27141,47149,1500
6s-g2vFu12OemhiK3FJuOQ,Dave,2363,21056,12720,17509,1010
zUKeZNu4tCG56xjwWH54Vw,Bill,2396,19570,13094,15382,470
oyXIV-9GRBBZrFydPCaR2w,Candace,1590,11387,6739,9289,332
g3HFkZgloxLQCvoJ5Zs5gg,Jana,3044,12666,6263,10339,205
G9Vb6yQ047TC3O_-GG4WZA,Connie,1540,24513,15949,22616,1558
-G7Zkl1wIWBBmD0KRy_sCw,Gerald,2429,28188,13214,19740,439
hWDybu_KvYLSdEFzGrniTw,Bruce,10022,74829,49785,61383,528
Mu6wz7_d6OBgRqkl4_NaXw,Kathleen,1536,5673,4474,3891,381
hzKQOJI8-7TM-BstJpSVCA,Amanda,1571,9572,4273,7267,201
ZYZNcugF3xUEGyLOVGiZ0Q,Carol,2759,12216,4689,7735,348
Da_ZO8lKwIacljqKUJbAlw,Jill,1514,1816,876,1501,149
EiwxlbR8fb68lMgEXhcWKA,Lorrie,3023,13793,7042,9380,485
HXOfPXPMvdXNpQ_l0RRjKw,Jeffrey,1939,10647,4751,6280,478
OHVhLKw_uIE7saIt_S-udw,Mike,1550,10034,6382,7884,209
syvwUKQJ4OYfmL_ixVLMeQ,Tina,4132,15795,6584,9406,485
